iter	Logloss
0	0.5856063982
1	0.5186113707
2	0.4479154974
3	0.4037550621
4	0.3744121871
5	0.3466860597
6	0.3215123093
7	0.3066885252
8	0.287170327
9	0.2698036335
10	0.2587814007
11	0.2492746251
12	0.2401798259
13	0.2352060825
14	0.2236412394
15	0.2181589189
16	0.2139837768
17	0.2102344629
18	0.2052738995
19	0.2006686556
20	0.1971695577
21	0.1939025937
22	0.1892681055
23	0.1864547756
24	0.1826255119
25	0.1803191795
26	0.1786554485
27	0.1763118362
28	0.17357102
29	0.1723081692
30	0.170054576
31	0.1677549523
32	0.1657821449
33	0.1640823687
34	0.1630158575
35	0.1618407758
36	0.1598623363
37	0.1581910047
38	0.1575276712
39	0.1562329581
40	0.1551035096
41	0.1542824011
42	0.1534068534
43	0.1524036838
44	0.1508642115
45	0.1503372408
46	0.1483083741
47	0.1471348423
48	0.1462456164
49	0.1453880667
50	0.1444069381
51	0.1437912269
52	0.1432134634
53	0.1418832102
54	0.1413647275
55	0.1410714436
56	0.1402590094
57	0.1395162088
58	0.1388714633
59	0.1382685652
60	0.1376346967
61	0.1368731464
62	0.1366049732
63	0.1360761118
64	0.1357501644
65	0.1350956071
66	0.1345471652
67	0.133801002
68	0.13325271
69	0.1327971001
70	0.1319561082
71	0.131409018
72	0.1307434507
73	0.130384199
74	0.1301674774
75	0.1293988291
76	0.1285850808
77	0.1284104669
78	0.1279066121
79	0.1274785082
80	0.1271254975
81	0.1268496844
82	0.126458405
83	0.1260526635
84	0.1251870157
85	0.1246833232
86	0.12452254
87	0.1237739612
88	0.1233162508
89	0.1228729233
90	0.1222673583
91	0.1220389321
92	0.1217580776
93	0.1215434403
94	0.1210137272
95	0.1205646546
96	0.1196962507
97	0.1194193887
98	0.1190432174
99	0.1188336983
100	0.1185712681
101	0.1181444992
102	0.1180086482
103	0.1178029746
104	0.1174811159
105	0.1173225533
106	0.1169345138
107	0.116670998
108	0.1164395089
109	0.1160515586
110	0.1158867918
111	0.1156532452
112	0.1153451725
113	0.1148082516
114	0.1145358428
115	0.114257973
116	0.1138094944
117	0.1135206133
118	0.1133476259
119	0.1131908872
120	0.1130328648
121	0.1129682235
122	0.1128980961
123	0.1127939713
124	0.11253213
125	0.1123808787
126	0.1121574842
127	0.1118709572
128	0.1117250205
129	0.1115575515
130	0.1112383144
131	0.1108996215
132	0.1107425349
133	0.1105060723
134	0.1102828624
135	0.1100961891
136	0.1100476771
137	0.1098757755
